ibge_code,ibge_name,uf,prefeitura_url,camara_url
5102850,Castanheira,MT,https://castanheira.mt.gov.br/,https://www.castanheira.mt.leg.br/
5103007,Chapada dos Guimarães,MT,https://chapadadosguimaraes.mt.gov.br/,http://www.camarachapadadosguimaraes.mt.gov.br/
5103056,Cláudia,MT,https://claudia.mt.gov.br/,https://www.camaraclaudia.mt.gov.br/
5103106,Cocalinho,MT,https://cocalinho.mt.gov.br/,https://cocalinho.mt.leg.br/
5103205,Colíder,MT,https://colider.mt.gov.br/,https://www.camaracolider.mt.gov.br/Contato/Telefones-Uteis/
5103254,Colniza,MT,http://www.colniza.mt.gov.br,https://www.colniza.mt.leg.br/
5103304,Comodoro,MT,https://comodoro.mt.gov.br/,https://www.comodoro.mt.leg.br/
5103353,Confresa,MT,https://confresa.mt.gov.br/,http://www.confresa.mt.leg.br/
5103361,Conquista D'Oeste,MT,https://conquistadoeste.mt.gov.br/,http://www.conquistadoeste.mt.leg.br/
5103379,Cotriguaçu,MT,http://cotriguacu.mt.gov.br,http://cotriguacu.mt.leg.br/
5103403,Cuiabá,MT,http://www.cuiaba.mt.gov.br,http://www.camaracba.mt.gov.br/
5103437,Curvelândia,MT,http://curvelandia.mt.gov.br,https://curvelandia.mt.leg.br/
5103452,Denise,MT,https://denise.mt.gov.br/,https://www.denise.mt.leg.br/
5103502,Diamantino,MT,http://diamantino.mt.gov.br,https://www.diamantino.mt.leg.br/
5103601,Dom Aquino,MT,https://domaquino.mt.gov.br/,http://www.camaradomaquino.mt.gov.br/
5103700,Feliz Natal,MT,https://feliznatal.mt.gov.br/,http://www.feliznatal.mt.leg.br/
5103809,Figueirópolis D'Oeste,MT,https://figueiropolisdoeste.mt.gov.br/,https://figueiropolisdoeste.mt.leg.br/
5103858,Gaúcha do Norte,MT,https://gauchadonorte.mt.gov.br/,http://camaragauchadonorte.com.br/
5103908,General Carneiro,MT,https://generalcarneiro.mt.gov.br/,http://www.camarageneralcarneiro.mt.gov.br/
5103957,Glória D'Oeste,MT,http://gloriadoeste.mt.gov.br,https://www.gloriadoeste.mt.leg.br/
5104104,Guarantã do Norte,MT,https://guarantadonorte.mt.gov.br,https://www.guarantadonorte.mt.leg.br/
